OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
10.600: [GC (Allocation Failure) [PSYoungGen: 28688K->3041K(29696K)] 36555K->11949K(62464K), 0.0008355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.709: [GC (Allocation Failure) [PSYoungGen: 29661K->3041K(29696K)] 38569K->12885K(62464K), 0.0007675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.803: [GC (Allocation Failure) [PSYoungGen: 29637K->3041K(29696K)] 39481K->15783K(62464K), 0.0010254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.912: [GC (Allocation Failure) [PSYoungGen: 29644K->3041K(29696K)] 42386K->19648K(62464K), 0.0016401 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
11.052: [GC (Allocation Failure) [PSYoungGen: 29638K->640K(29696K)] 46245K->17263K(62464K), 0.0008589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.163: [GC (Allocation Failure) [PSYoungGen: 27264K->928K(29696K)] 43887K->17567K(62464K), 0.0008357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.257: [GC (Allocation Failure) [PSYoungGen: 27527K->2849K(29696K)] 44166K->19496K(62464K), 0.0009419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.351: [GC (Allocation Failure) [PSYoungGen: 29444K->3041K(29696K)] 46091K->21497K(62464K), 0.0008356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.462: [GC (Allocation Failure) [PSYoungGen: 29648K->3041K(29696K)] 48104K->23682K(62464K), 0.0008060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.555: [GC (Allocation Failure) [PSYoungGen: 29638K->3041K(29696K)] 50279K->27820K(62464K), 0.0014961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.651: [GC (Allocation Failure) [PSYoungGen: 29664K->3041K(29696K)] 54443K->32439K(62464K), 0.0013740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.652: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 29397K->8121K(32768K)] 32439K->8121K(62464K), [Metaspace: 2891K->2891K(1056768K)], 0.0023200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.806: [GC (Allocation Failure) [PSYoungGen: 26598K->1376K(29696K)] 34720K->9498K(62464K), 0.0006637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.901: [GC (Allocation Failure) [PSYoungGen: 27993K->2305K(29696K)] 36115K->10435K(62464K), 0.0009729 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.010: [GC (Allocation Failure) [PSYoungGen: 28912K->3041K(29696K)] 37042K->12436K(62464K), 0.0007318 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.104: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 39060K->15613K(62464K), 0.0008244 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.213: [GC (Allocation Failure) [PSYoungGen: 29644K->3041K(29696K)] 42216K->18639K(62464K), 0.0008637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.307: [GC (Allocation Failure) [PSYoungGen: 29648K->3041K(29696K)] 45246K->23553K(62464K), 0.0011950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.401: [GC (Allocation Failure) [PSYoungGen: 29636K->704K(29696K)] 50148K->21232K(62464K), 0.0006307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.511: [GC (Allocation Failure) [PSYoungGen: 27299K->2689K(29184K)] 47827K->23233K(61952K), 0.0004952 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.604: [GC (Allocation Failure) [PSYoungGen: 28784K->3041K(28672K)] 49328K->24369K(61440K), 0.0008932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.714: [GC (Allocation Failure) [PSYoungGen: 28624K->2016K(27136K)] 49952K->24625K(59904K), 0.0006095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.809: [GC (Allocation Failure) [PSYoungGen: 27078K->3041K(27648K)] 49687K->26234K(60416K), 0.0009864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.903: [GC (Allocation Failure) [PSYoungGen: 27607K->1984K(27648K)] 50800K->25194K(60416K), 0.0009531 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.012: [GC (Allocation Failure) [PSYoungGen: 27561K->2881K(28160K)] 50770K->26106K(60928K), 0.0005629 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.106: [GC (Allocation Failure) [PSYoungGen: 27945K->2529K(27136K)] 51170K->26530K(59904K), 0.0009917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.201: [GC (Allocation Failure) [PSYoungGen: 27076K->1600K(28160K)] 51077K->25618K(60928K), 0.0010151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.310: [GC (Allocation Failure) [PSYoungGen: 26666K->1952K(29696K)] 50684K->25978K(62464K), 0.0011454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.404: [GC (Allocation Failure) [PSYoungGen: 28558K->2913K(29696K)] 52584K->26947K(62464K), 0.0011864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.512: [GC (Allocation Failure) [PSYoungGen: 29510K->3041K(29696K)] 53543K->28963K(62464K), 0.0007233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.608: [GC (Allocation Failure) [PSYoungGen: 29664K->3041K(29696K)] 55587K->31277K(62464K), 0.0010850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.609: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 28235K->5794K(32768K)] 31277K->5794K(62464K), [Metaspace: 2891K->2891K(1056768K)], 0.0024599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.701: [GC (Allocation Failure) [PSYoungGen: 26609K->3041K(29696K)] 32403K->12517K(62464K), 0.0017179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
