OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
2.389: [GC (Allocation Failure) [PSYoungGen: 14275K->5506K(14336K)] 44998K->36229K(58368K), 0.0010622 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.391: [GC (Allocation Failure) [PSYoungGen: 12661K->4418K(14336K)] 43383K->35164K(58368K), 0.0007668 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.436: [GC (Allocation Failure) [PSYoungGen: 11572K->3361K(14336K)] 42319K->34124K(58368K), 0.0006598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.497: [GC (Allocation Failure) [PSYoungGen: 10516K->2305K(14336K)] 41278K->33083K(58368K), 0.0005453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.498: [GC (Allocation Failure) [PSYoungGen: 9459K->1248K(14336K)] 40238K->32043K(58368K), 0.0009946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.544: [GC (Allocation Failure) [PSYoungGen: 8403K->160K(14336K)] 39197K->30970K(58368K), 0.0006228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.546: [GC (Allocation Failure) [PSYoungGen: 7314K->7139K(14336K)] 38125K->38094K(58368K), 0.0013878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.592: [GC (Allocation Failure) [PSYoungGen: 14293K->6275K(14336K)] 45248K->37229K(58368K), 0.0007951 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.593: [GC (Allocation Failure) [PSYoungGen: 13429K->5218K(14336K)] 44384K->36189K(58368K), 0.0011003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.638: [GC (Allocation Failure) [PSYoungGen: 12361K->2625K(14336K)] 43332K->33611K(58368K), 0.0006041 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.700: [GC (Allocation Failure) [PSYoungGen: 9779K->1536K(14336K)] 40766K->32539K(58368K), 0.0006939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.702: [GC (Allocation Failure) [PSYoungGen: 8691K->480K(14336K)] 39693K->31498K(58368K), 0.0006913 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.703: [GC (Allocation Failure) [PSYoungGen: 7634K->7139K(14336K)] 38653K->38590K(58368K), 0.0011216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.748: [GC (Allocation Failure) [PSYoungGen: 14293K->6563K(14336K)] 45744K->38013K(58368K), 0.0013833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.794: [GC (Allocation Failure) [PSYoungGen: 13717K->5506K(14336K)] 45168K->36965K(58368K), 0.0011263 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.796: [GC (Allocation Failure) [PSYoungGen: 12661K->4450K(14336K)] 44119K->35924K(58368K), 0.0006894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.841: [GC (Allocation Failure) [PSYoungGen: 11604K->3393K(14336K)] 43079K->34884K(58368K), 0.0008553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.888: [GC (Allocation Failure) [PSYoungGen: 10531K->1280K(14336K)] 42022K->32779K(58368K), 0.0006458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.889: [GC (Allocation Failure) [PSYoungGen: 8435K->224K(14336K)] 39933K->31730K(58368K), 0.0009165 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.891: [GC (Allocation Failure) [PSYoungGen: 7378K->7139K(14336K)] 38885K->38822K(58368K), 0.0011753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.951: [GC (Allocation Failure) [PSYoungGen: 14294K->6307K(14336K)] 45976K->37989K(58368K), 0.0008807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.997: [GC (Allocation Failure) [PSYoungGen: 13461K->5250K(14336K)] 45144K->36941K(58368K), 0.0008301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.999: [GC (Allocation Failure) [PSYoungGen: 12405K->4194K(14336K)] 44095K->35900K(58368K), 0.0006945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.044: [GC (Allocation Failure) [PSYoungGen: 11348K->3137K(14336K)] 43055K->34860K(58368K), 0.0010372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.090: [GC (Allocation Failure) [PSYoungGen: 10292K->2080K(14336K)] 42014K->33811K(58368K), 0.0007302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.091: [GC (Allocation Failure) [PSYoungGen: 9248K->416K(14336K)] 40979K->32162K(58368K), 0.0007457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.093: [GC (Allocation Failure) [PSYoungGen: 7569K->7011K(14336K)] 39316K->38774K(58368K), 0.0011727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.137: [GC (Allocation Failure) [PSYoungGen: 14149K->4930K(14336K)] 45911K->36709K(58368K), 0.0009134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.199: [GC (Allocation Failure) [PSYoungGen: 12084K->3841K(14336K)] 43863K->35636K(58368K), 0.0011825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
